iter	Passed	Remaining
0	35	70122
1	72	72865
2	103	69113
3	133	66690
4	165	66169
5	197	65580
6	226	64496
7	255	63596
8	285	63242
9	337	67179
10	380	68856
11	420	69639
12	451	68974
13	487	69195
14	566	75008
15	632	78370
16	683	79759
17	719	79256
18	752	78429
19	807	79896
20	860	81131
21	912	82032
22	966	83065
23	1003	82659
24	1054	83277
25	1123	85324
26	1153	84322
27	1196	84292
28	1227	83394
29	1276	83807
30	1354	86008
31	1401	86180
32	1450	86440
33	1495	86457
34	1538	86370
35	1587	86591
36	1633	86681
37	1667	86074
38	1716	86326
39	1802	88334
40	1853	88572
41	1903	88724
42	1946	88586
43	2004	89103
44	2056	89348
45	2099	89167
46	2136	88784
47	2190	89077
48	2268	90327
49	2306	89941
50	2363	90313
51	2414	90447
52	2477	91016
53	2507	90368
54	2541	89886
55	2599	90234
56	2646	90204
57	2692	90156
58	2721	89516
59	2751	88958
60	2824	89777
61	2878	89968
62	2928	90037
63	2956	89445
64	2988	88970
65	3033	88899
66	3092	89232
67	3137	89131
68	3171	88749
69	3360	92655
70	3436	93358
71	3469	92894
72	3563	94068
73	3625	94353
74	3712	95281
75	3781	95720
76	3824	95522
77	3861	95142
78	3928	95529
79	4094	98274
80	4234	100309
81	4310	100819
82	4344	100338
83	4388	100104
84	4440	100031
85	4494	100034
86	4535	99736
87	4593	99793
88	4752	102039
89	4827	102452
90	4865	102065
91	4940	102465
92	4997	102479
93	5099	103409
94	5156	103398
95	5195	103053
96	5252	103042
97	5455	105888
98	5549	106562
99	5608	106559
100	5677	106754
101	5719	106426
102	5753	105968
103	5786	105491
104	5817	104996
105	5868	104861
106	5922	104770
107	5980	104777
108	6015	104361
109	6099	104802
110	6142	104536
111	6188	104322
112	6220	103875
113	6256	103509
114	6324	103662
115	6370	103460
116	6405	103095
117	6437	102679
118	6484	102493
119	6553	102670
120	6601	102514
121	6651	102390
122	6685	102015
123	6728	101792
124	6787	101814
125	6831	101612
126	6864	101239
127	6894	100828
128	6927	100470
129	7012	100876
130	7073	100925
131	7115	100699
132	7151	100393
133	7234	100743
134	7288	100695
135	7341	100615
136	7385	100432
137	7436	100343
138	7485	100219
139	7515	99847
140	7548	99528
141	7624	99766
142	7688	99845
143	7727	99595
144	7767	99367
145	7811	99193
146	7862	99110
147	7899	98848
148	7933	98558
149	7968	98281
150	8009	98078
151	8095	98429
152	8146	98343
153	8182	98077
154	8208	97704
155	8247	97488
156	8296	97388
157	8351	97362
158	8399	97251
159	8433	96979
160	8490	96981
161	8589	97457
162	8636	97333
163	8698	97384
164	8750	97316
165	8815	97397
166	8852	97163
167	8888	96922
168	8952	96997
169	8994	96823
170	9026	96545
171	9059	96284
172	9092	96026
173	9129	95803
174	9213	96085
175	9265	96022
176	9307	95858
177	9360	95814
178	9434	95977
179	9475	95810
180	9514	95617
181	9551	95413
182	9616	95481
183	9658	95329
184	9697	95144
185	9728	94882
186	9775	94771
187	9835	94801
188	9921	95064
189	9955	94843
190	10004	94755
191	10065	94785
192	10108	94646
193	10142	94417
194	10199	94412
195	10250	94350
196	10310	94364
197	10349	94195
198	10379	93940
199	10436	93927
200	10499	93968
201	10548	93892
202	10583	93689
203	10615	93457
204	10646	93225
205	10698	93174
206	10772	93305
207	10820	93222
208	10857	93042
209	10908	92983
210	10964	92964
211	11016	92911
212	11052	92725
213	11082	92495
214	11130	92408
215	11220	92671
216	11263	92545
217	11301	92383
218	11343	92247
219	11397	92213
220	11462	92267
221	11497	92086
222	11526	91851
223	11589	91884
224	11644	91864
225	11684	91717
226	11743	91722
227	11876	92304
228	12016	92928
229	12068	92872
230	12117	92798
231	12165	92710
232	12208	92587
233	12253	92479
234	12331	92619
235	12376	92505
236	12445	92581
237	12497	92521
238	12535	92361
239	12571	92188
240	12625	92147
241	12666	92013
242	12718	91963
243	12752	91775
244	12842	91993
245	12915	92087
246	12960	91982
247	13003	91862
248	13048	91759
249	13090	91632
250	13127	91476
251	13158	91277
252	13187	91062
253	13268	91205
254	13338	91276
255	13407	91339
256	13452	91235
257	13500	91152
258	13552	91097
259	13599	91009
260	13634	90845
261	13667	90665
262	13746	90789
263	13802	90764
264	13843	90636
265	13891	90554
266	13936	90454
267	14008	90530
268	14059	90469
269	14096	90321
270	14127	90136
271	14159	89953
272	14232	90034
273	14287	90002
274	14330	89891
275	14360	89703
276	14428	89748
277	14498	89810
278	14543	89712
279	14578	89550
280	14609	89372
281	14640	89193
282	14701	89197
283	14746	89101
284	14789	88994
285	14840	88937
286	14888	88862
287	14939	88804
288	15019	88919
289	15054	88767
290	15110	88741
291	15166	88712
292	15233	88750
293	15276	88647
294	15329	88600
295	15381	88548
296	15451	88601
297	15493	88491
298	15553	88484
299	15607	88444
300	15648	88325
301	15679	88156
302	15712	88000
303	15778	88026
304	15821	87923
305	15867	87840
306	15899	87680
307	15929	87510
308	15962	87356
309	16014	87305
310	16077	87312
311	16127	87251
312	16166	87134
313	16242	87212
314	16290	87143
315	16342	87091
316	16374	86933
317	16414	86818
318	16473	86806
319	16538	86827
320	16593	86792
321	16627	86647
322	16710	86760
323	16750	86648
324	16793	86553
325	16826	86402
326	16858	86253
327	16888	86087
328	16951	86094
329	16996	86011
330	17030	85874
331	17063	85728
332	17099	85600
333	17179	85693
334	17224	85606
335	17268	85521
336	17303	85389
337	17349	85310
338	17401	85259
339	17445	85176
340	17484	85063
341	17514	84909
342	17550	84782
343	17627	84859
344	17673	84779
345	17717	84695
346	17747	84545
347	17798	84490
348	17868	84530
349	17920	84483
350	17958	84368
351	17999	84270
352	18046	84198
353	18151	84398
354	18186	84272
355	18416	85047
356	18457	84945
357	18541	85040
358	18585	84954
359	18621	84833
360	18651	84682
361	18680	84527
362	18751	84562
363	18804	84518
364	18851	84446
365	18881	84297
366	19074	84871
367	19142	84891
368	19258	85122
369	19331	85165
370	19381	85101
371	19436	85061
372	19507	85091
373	19548	84988
374	19581	84853
375	19769	85385
376	19839	85408
377	19881	85310
378	19930	85244
379	19995	85243
380	20034	85132
381	20082	85062
382	20148	85063
383	20191	84974
384	20227	84850
385	20260	84717
386	20307	84638
387	20353	84562
388	20431	84614
389	20474	84522
390	20512	84409
391	20583	84436
392	20628	84352
393	20685	84316
394	20726	84219
395	20771	84133
396	20815	84047
397	20864	83982
398	20902	83871
399	20933	83732
400	20965	83601
401	21014	83534
402	21059	83453
403	21108	83387
404	21159	83332
405	21199	83230
406	21254	83190
407	21312	83160
408	21350	83054
409	21392	82960
410	21442	82901
411	21513	82920
412	21548	82804
413	21592	82719
414	21636	82634
415	21691	82594
416	21756	82591
417	21809	82543
418	21848	82440
419	21890	82348
420	21955	82347
421	22022	82349
422	22074	82297
423	22127	82247
424	22177	82186
425	22218	82092
426	22263	82014
427	22311	81949
428	22361	81888
429	22408	81817
430	22455	81744
431	22487	81619
432	22517	81488
433	22562	81412
434	22624	81394
435	22662	81294
436	22693	81166
437	22722	81033
438	22762	80940
439	22812	80881
440	22893	80932
441	22922	80800
442	22952	80671
443	23009	80635
444	23059	80577
445	23097	80479
446	23131	80366
447	23165	80252
448	23260	80350
449	23318	80319
450	23367	80258
451	23425	80225
452	23475	80169
453	23518	80085
454	23553	79978
455	23586	79863
456	23626	79772
457	23701	79798
458	23742	79710
459	23785	79628
460	23847	79612
461	23900	79564
462	23941	79476
463	23974	79362
464	24043	79367
465	24106	79355
466	24153	79286
467	24186	79175
468	24221	79068
469	24302	79112
470	24383	79154
471	24437	79112
472	24487	79053
473	24569	79099
474	24627	79065
475	24672	78992
476	24733	78971
477	24778	78895
478	24807	78773
479	24864	78737
480	24912	78672
481	24971	78643
482	25033	78626
483	25077	78548
484	25111	78440
485	25171	78414
486	25230	78385
487	25276	78316
488	25327	78260
489	25365	78167
490	25428	78149
491	25488	78123
492	25549	78100
493	25585	77999
494	25642	77963
495	25703	77940
496	25755	77889
497	25795	77802
498	25859	77786
499	25922	77766
500	25991	77766
501	26030	77675
502	26064	77570
503	26126	77550
504	26187	77525
505	26229	77443
506	26261	77333
507	26477	77766
508	26521	77688
509	26611	77748
510	26690	77773
511	26731	77687
512	26765	77584
513	26816	77527
514	26868	77474
515	26917	77413
516	26955	77322
517	27172	77741
518	27241	77735
519	27334	77798
520	27368	77693
521	27405	77595
522	27448	77516
523	27487	77427
524	27519	77315
525	27551	77207
526	27594	77127
527	27631	77034
528	27732	77117
529	27912	77418
530	27971	77381
531	28024	77330
532	28073	77268
533	28106	77161
534	28138	77051
535	28201	77026
536	28273	77027
537	28321	76963
538	28402	76987
539	28471	76978
540	28518	76911
541	28572	76860
542	28606	76758
543	28652	76687
544	28707	76641
545	28757	76580
546	28831	76585
547	28871	76500
548	28907	76402
549	28949	76320
550	29001	76267
551	29070	76256
552	29116	76186
553	29164	76121
554	29216	76068
555	29292	76075
556	29335	75998
557	29370	75900
558	29438	75886
559	29491	75834
560	29551	75801
561	29587	75707
562	29639	75652
563	29700	75620
564	29749	75558
565	29782	75454
566	29847	75435
567	29908	75402
568	29964	75358
569	30001	75267
570	30042	75184
571	30080	75096
572	30163	75118
573	30214	75062
574	30250	74968
575	30298	74905
576	30365	74886
577	30423	74848
578	30456	74747
579	30491	74650
580	30573	74670
581	30614	74590
582	30661	74522
583	30692	74419
584	30741	74357
585	30812	74350
586	30861	74289
587	30905	74216
588	30942	74125
589	31001	74089
590	31068	74071
591	31119	74014
592	31162	73939
593	31196	73841
594	31233	73752
595	31315	73770
596	31380	73747
597	31412	73645
598	31458	73578
599	31524	73557
600	31565	73477
601	31596	73374
602	31635	73291
603	31736	73350
604	31777	73271
605	31807	73167
606	31835	73059
607	31867	72959
608	31916	72900
609	31963	72833
610	32037	72831
611	32076	72748
612	32138	72718
613	32196	72678
614	32233	72590
615	32266	72495
616	32327	72462
617	32385	72421
618	32435	72363
619	32489	72315
620	32539	72257
621	32601	72226
622	32651	72168
623	32697	72102
624	32728	72003
625	32758	71900
626	32802	71830
627	32875	71822
628	32924	71762
629	32962	71679
630	32995	71585
631	33038	71514
632	33098	71477
633	33144	71411
634	33215	71401
635	33280	71374
636	33349	71358
637	33387	71275
638	33421	71183
639	33471	71127
640	33524	71075
641	33564	70997
642	33597	70905
643	33647	70846
644	33736	70872
645	33790	70823
646	33831	70748
647	33881	70690
648	33936	70644
649	34010	70636
650	34040	70538
651	34069	70438
652	34103	70348
653	34154	70292
654	34194	70216
655	34231	70132
656	34261	70035
657	34292	69939
658	34423	70049
659	34586	70221
660	34633	70157
661	34677	70088
662	34706	69987
663	34734	69888
664	34766	69793
665	34814	69732
666	34851	69650
667	34903	69597
668	34980	69595
669	35031	69539
670	35066	69454
671	35236	69633
672	35306	69616
673	35394	69633
674	35449	69587
675	35494	69518
676	35533	69439
677	35583	69381
678	35627	69314
679	35666	69234
680	35697	69140
681	35932	69440
682	35974	69367
683	36071	69399
684	36132	69364
685	36165	69273
686	36197	69180
687	36265	69156
688	36322	69112
689	36370	69050
690	36402	68958
691	36436	68871
692	36533	68902
693	36684	69033
694	36777	69057
695	36815	68976
696	36852	68893
697	36879	68792
698	36910	68699
699	36942	68608
700	36992	68549
701	37075	68553
702	37121	68486
703	37162	68411
704	37310	68534
705	37409	68566
706	37470	68528
707	37570	68560
708	37620	68502
709	37659	68423
710	37706	68359
711	37755	68300
712	37830	68286
713	37864	68199
714	37900	68114
715	38101	68327
716	38147	68260
717	38246	68289
718	38288	68217
719	38324	68133
720	38359	68047
721	38418	68003
722	38497	67995
723	38533	67913
724	38567	67826
725	38813	68110
726	38845	68020
727	38893	67956
728	38987	67974
729	39033	67908
730	39076	67836
731	39136	67794
732	39322	67969
733	39389	67939
734	39443	67885
735	39479	67802
736	39512	67712
737	39541	67616
738	39569	67519
739	39605	67436
740	39647	67363
741	39687	67286
742	39750	67248
743	40040	67596
744	40289	67870
745	41148	69169
746	41206	69118
747	41257	69055
748	41294	68971
749	41339	68898
750	41373	68809
751	41406	68717
752	41439	68625
753	41501	68582
754	41559	68531
755	41631	68504
756	41917	68828
757	41954	68744
758	42012	68691
759	42045	68599
760	42087	68522
761	42628	69257
762	42755	69316
763	42803	69247
764	42855	69185
765	42916	69136
766	42975	69085
767	43006	68990
768	43041	68899
769	43078	68813
770	43252	68945
771	43320	68909
772	43377	68853
773	43441	68810
774	43516	68784
775	43549	68691
776	43770	68894
777	44169	69376
778	44216	69305
779	44336	69346
780	44458	69391
781	44600	69466
782	44670	69429
783	44708	69343
784	44753	69267
785	44844	69263
786	44905	69212
787	45034	69266
788	45211	69393
789	45267	69333
790	45372	69349
791	45434	69298
792	45543	69319
793	45643	69327
794	45875	69534
795	45962	69521
796	46088	69566
797	46158	69526
798	46259	69534
799	46329	69493
800	46559	69693
801	46661	69701
802	46772	69721
803	46842	69680
804	46915	69645
805	47040	69685
806	47345	69991
807	47409	69940
808	47454	69862
809	47493	69773
810	47531	69684
811	47572	69601
812	47614	69517
813	47654	69431
814	47703	69360
815	47773	69318
816	47817	69238
817	47858	69154
818	47911	69088
819	47974	69037
820	48037	68983
821	48089	68916
822	48142	68850
823	48233	68837
824	48270	68748
825	48308	68660
826	48456	68730
827	48572	68752
828	48610	68664
829	48707	68660
830	48758	68590
831	48813	68526
832	48850	68436
833	48889	68351
834	48976	68332
835	49032	68269
836	49080	68196
837	49137	68135
838	49205	68089
839	49256	68020
840	49297	67938
841	49351	67873
842	49405	67808
843	49516	67820
844	49563	67746
845	49699	67793
846	49828	67830
847	49907	67798
848	49946	67713
849	49980	67620
850	50010	67523
851	50040	67426
852	50071	67329
853	50108	67241
854	50163	67178
855	50199	67089
856	50230	66992
857	50263	66901
858	50337	66862
859	50471	66904
860	50601	66939
861	50679	66906
862	50893	67052
863	50994	67048
864	51074	67016
865	51141	66968
866	51277	67009
867	51323	66932
868	51362	66848
869	51398	66758
870	51438	66674
871	51517	66641
872	51565	66568
873	51606	66485
874	51645	66401
875	51826	66498
876	51922	66486
877	51972	66415
878	52178	66543
879	52337	66611
880	52492	66673
881	52630	66713
