RecordId,Y
300001,1.9483195649172557e-06
300002,9.184250736780085e-06
300003,1.2942083242251102e-06
300004,1.507493087729017e-06
300005,2.0418032261204643e-06
300006,2.075641069723133e-06
300007,2.7511709981808962e-06
300008,2.9842210597053053e-06
300009,3.098629094893113e-06
300010,3.4529294543972355e-06
300011,3.5299174533065526e-06
300012,1.2998696479371574e-06
300013,1.368909482835079e-06
300014,2.4924370950429874e-06
300015,1.5968018351486535e-06
300016,1.6544430320664106e-06
300017,2.8834152635681675e-06
300018,2.3618884006282313e-06
300019,1.4602540227315331e-06
300020,1.8437694313888641e-06
300021,2.650762949087948e-06
300022,1.9166833374129055e-06
300023,1.8837717516362318e-06
300024,2.5901284038809534e-06
300025,2.89002694444207e-06
300026,1.2688223011991795e-06
300027,1.5007039905867714e-06
300028,3.51000352338815e-06
300029,8.345334886143973e-06
300030,1.4326576808798564e-06
300031,3.943744268326554e-06
300032,3.837253464098467e-06
300033,3.2230481997430617e-06
300034,1.5420333102156291e-06
300035,1.52425212718299e-06
300036,1.4667690038550063e-06
300037,1.6544610002711124e-06
300038,1.7793495464957233e-06
300039,1.9980197112090535e-06
300040,1.6177985503418312e-06
300041,5.297846737448708e-06
300042,1.8838543076071801e-06
300043,2.6687532090363675e-06
300044,2.698649994954394e-06
300045,2.4722908244712017e-06
300046,1.3471266686337913e-06
300047,2.4756866196185e-06
300048,1.5156672179728048e-06
300049,1.4102984459896107e-06
300050,2.3632720467503534e-06
300051,1.3354399948184437e-06
300052,2.469405371812172e-06
300053,1.3966356789296696e-06
300054,1.909175721266365e-06
300055,2.128551266196155e-06
300056,2.3487924443088557e-06
300057,1.4253522215312842e-06
300058,1.6512169042925962e-06
300059,2.659470862909075e-06
300060,2.2794436008553022e-05
300061,1.2965494966010738e-06
300062,1.9096631876891478e-06
300063,1.0251889607388876e-05
300064,2.010300893289241e-06
300065,3.812077402471914e-06
300066,2.5928625245796867e-06
300067,2.6688400976127015e-06
300068,2.3257444365754054e-06
300069,1.5125662434911647e-06
300070,7.610731231579848e-06
300071,2.5070231754398263e-06
300072,2.1472769913088996e-06
300073,1.3970078953207122e-06
300074,8.577202763262903e-05
300075,2.34024391602361e-06
300076,2.256001760088111e-06
300077,1.8464094000592013e-06
300078,2.6752699204735107e-06
300079,1.6267022147076204e-06
300080,1.423286198587448e-06
300081,2.0597931086285825e-06
300082,1.742596371059335e-06
300083,2.0564768897202156e-06
300084,2.6108038946404124e-06
300085,2.585241608130673e-06
300086,1.4577155172901256e-06
300087,1.2814181843623374e-06
300088,1.8579363461412867e-06
300089,2.412514097613894e-06
300090,1.8013010469530855e-06
300091,1.7722501979733351e-06
300092,1.5897646380835796e-06
300093,7.148946961024194e-06
300094,4.42864323986214e-06
300095,1.419889093767779e-06
300096,1.6941245303314646e-06
300097,3.134080066047318e-06
300098,5.9891405821872465e-05
300099,3.106331648723426e-06
300100,1.873848721061222e-06
300101,2.4915839117056748e-06
300102,1.8084579971855418e-06
300103,0.001185457588871941
300104,2.601058320124139e-06
300105,5.096055249396159e-06
300106,1.921579743111579e-06
300107,1.4938456718027737e-06
300108,2.125748587786802e-06
300109,2.4067214735623567e-06
300110,2.633071651416685e-06
300111,6.089756311666861e-06
300112,2.4426739685168285e-06
300113,1.2944070192588698e-06
300114,2.917211425028654e-06
300115,7.661560907763487e-06
300116,1.9560165026177855e-06
300117,1.522149200354761e-06
300118,1.475681867759704e-06
300119,1.4220196840142307e-06
300120,1.8702929116898303e-06
300121,1.6982284182631702e-06
300122,1.413752515873057e-06
300123,1.387072570651071e-06
300124,3.825654665661205e-06
300125,3.038167673139469e-06
300126,1.3322433403573086e-06
300127,1.370301607721558e-06
300128,2.538700371133018e-06
300129,1.4514108909224889e-06
300130,1.2882739940778266e-06
300131,1.3270350416405563e-06
300132,2.4657183394083403e-06
300133,2.696710050713591e-06
300134,3.2776361194919445e-06
300135,1.8578497520138626e-06
300136,1.4752850881905032e-06
300137,1.4460574175245711e-06
300138,6.682058651676925e-06
300139,1.67825121138776e-06
300140,1.9040473807763193e-06
300141,5.358921075639955e-06
300142,2.8536502168208246e-06
300143,4.018458189420926e-06
300144,1.741294811381522e-06
300145,1.894177486292392e-06
300146,0.000577499509199697
300147,1.5714156052126782e-06
300148,1.8741676217359782e-06
300149,1.3702573096452397e-06
300150,3.2952042806755343e-06
300151,1.6809542387363762e-06
300152,1.529869742853407e-06
300153,5.511522363121912e-06
300154,2.2766453218991957e-06
300155,2.4418054363195553e-06
300156,0.00028519274685095297
300157,2.080057068951646e-06
300158,3.2833107604801627e-06
300159,1.474131546501667e-06
300160,2.1889485049086945e-06
300161,2.2287332194537156e-06
300162,1.608200894906986e-06
300163,2.6008432428170638e-06
300164,2.0177294368295407e-06
300165,1.266176303715838e-06
300166,2.6313690750612295e-06
300167,2.3979176614830065e-06
300168,1.7300943636655576e-06
300169,1.7232788593446458e-06
300170,4.0937928747553085e-06
300171,1.367456427487923e-06
300172,1.8245975672925851e-06
300173,3.4575646645862437e-06
300174,2.189919734973955e-06
300175,1.7949071332168386e-06
300176,2.005086485041829e-06
300177,1.4083243786444655e-06
300178,2.2788949308960583e-06
300179,1.3467428846070106e-06
300180,2.214261969584186e-06
300181,3.184061765750812e-06
300182,1.9039778135265807e-06
300183,3.3976798249568675e-06
300184,1.5275855514573777e-06
300185,2.4811581681660756e-06
300186,3.860372748931695e-06
300187,3.379306833721785e-06
300188,1.8927874236851494e-06
300189,2.000648740931865e-06
300190,1.3969905307931185e-06
300191,1.8228843725864863e-06
300192,1.663222096794925e-06
300193,1.6400640663505328e-06
300194,1.8764268338600232e-06
300195,1.699482080539383e-06
300196,1.426741486056926e-06
300197,2.0845114192979965e-06
300198,7.246284176289919e-06
300199,1.404540006433308e-06
300200,2.8304598538397842e-06
300201,2.124272970149832e-06
300202,5.147822701019323e-06
300203,2.353283394995742e-06
300204,8.822056720418914e-06
300205,1.3506774700999813e-06
300206,2.135784191068524e-06
300207,1.7763864116204785e-06
300208,2.4970279559966e-06
300209,1.8663907826521608e-06
300210,1.936233996957526e-06
300211,2.228469543297251e-06
300212,1.7801211436108133e-06
300213,1.3205542950345261e-06
300214,2.768586034562759e-06
300215,1.865992530838412e-05
300216,3.197891978743428e-06
300217,2.2025961004601415e-06
300218,2.001332740064754e-06
300219,5.13038814688116e-06
300220,1.400323183133878e-06
300221,1.9974879796791354e-06
300222,1.7919921378961589e-06
300223,1.9547564511412927e-06
300224,3.979600230650249e-06
300225,1.3352332246086008e-06
300226,1.940030721243602e-06
300227,2.6191293545707596e-06
300228,6.661529291704937e-06
300229,1.4989122666975164e-06
300230,2.181070584583722e-06
300231,2.5012282139869057e-06
300232,2.4071140217074573e-06
300233,1.4889737963130755e-06
300234,1.8344197428632469e-06
300235,5.129989665419998e-06
300236,2.708042447920889e-06
300237,2.1490031144821843e-06
300238,1.450475043611732e-06
300239,1.5001648091583776e-06
300240,2.0359958261906285e-06
300241,2.163812697517642e-06
300242,2.5109591274485864e-06
300243,3.3030223335117625e-06
300244,2.4192079433760227e-06
300245,1.0539663261397436e-05
300246,1.7958891464786575e-06
300247,1.2834199571898353e-06
300248,4.038244403545832e-06
300249,3.572295702269912e-06
300250,1.8893231322181236e-06
300251,1.2626932516468515e-06
300252,1.6982700105927506e-06
300253,1.9954904166752383e-06
300254,1.5654657602226506e-06
300255,1.668249265094346e-06
300256,1.7414795024706108e-06
300257,1.3228411091859015e-06
300258,1.9250759930855567e-06
300259,1.419440068275435e-06
300260,1.2741756825107586e-06
300261,2.335428571313969e-06
300262,1.8820643572325935e-06
300263,2.8124691937136957e-06
300264,1.3608690858291084e-06
300265,2.3121516926494224e-06
300266,1.6823342900806893e-06
300267,2.6417762046548885e-06
300268,1.7466292194967536e-06
300269,1.6238270598023518e-06
300270,2.8125932703915168e-06
300271,1.985220633287099e-06
300272,1.273663668825975e-06
300273,1.5816769985121937e-06
300274,1.3641655402807374e-06
300275,1.7257582237562018e-06
300276,2.7877186994373915e-06
300277,1.286272532752264e-06
300278,1.6010055878723506e-06
300279,4.755477250455442e-06
300280,2.4170780511667543e-06
300281,3.5113906960759777e-06
300282,1.345484192825097e-06
300283,1.711539692905717e-06
300284,1.6389042775699636e-06
300285,2.2168471809891343e-06
300286,1.356879688501067e-06
300287,1.7767245174127312e-06
300288,6.319518493000942e-06
300289,2.664721044993712e-06
300290,2.4824133083711785e-06
300291,1.403888685445054e-06
300292,1.4727541463344097e-06
